siteID,siteID,distance
ACA,BLN,95.2594
ACA,BME,419.855
ACA,BNN,423.153
ACA,BPK,498.813
ACA,CAB,458.155
ACA,CAY,466.959
ACA,CCA,465.266
ACA,CCB,131.872
ACA,CCN,438.029
ACA,CDZ,343.53
ACA,CHC,276.042
ACA,CHI,58.4654
ACA,CHL,478.741
ACA,CHM,336.179
ACA,CHN,100.066
ACA,CHP,424.029
ACA,CHT,247.05
ACA,CHY,341.547
ACA,CKL,589.85
ACA,CKM,86.4899
ACA,CLB,140.541
ACA,CLK,316.742
ACA,CML,487.842
ACA,CMT,590.917
ACA,CNB,92.217
ACA,CNC,550.379
ACA,CNJ,548.308
ACA,CNK,449.084
ACA,CNS,148.187
ACA,CNZ,419.656
ACA,COB,195.494
ACA,CPH,97.1569
ACA,CPN,679.618
ACA,CRC,468.481
ACA,CRN,395.197
ACA,CRO,489.998
ACA,CRZ,413.509
ACA,CTN,91.8402
ACA,CZP,474.545
ACA,DBC,20.6799
ACA,DBN,160.591
ACA,DCB,477.123
ACA,DPL,507.6
ACA,DZB,257.53
ACA,DZC,89.2354
ACA,DZK,150.548
ACA,DZL,70.0342
ACA,EDZ,167.634
ACA,EKB,161.795
ACA,ENC,407.082
ACA,FLD,437.216
ACA,FLS,446.554
ACA,HBM,122.123
ACA,HCH,172.529
ACA,HIG,649.191
ACA,HLK,103.404
ACA,HLL,104.899
ACA,HLM,404.48
ACA,HLT,96.578
ACA,HNT,91.7591
ACA,HNY,612.496
ACA,HRZ,371.527
ACA,HTZ,25.2488
ACA,HUA,430.697
ACA,ICC,93.2733
ACA,ICP,291.963
ACA,IKL,79.4189
ACA,ITB,105.391
ACA,ITN,495.311
ACA,ITS,452.753
ACA,IXK,489.28
ACA,IXL,440.716
ACA,IXT,492.594
ACA,IXZ,499.364
ACA,JAI,131.124
ACA,JLN,496.104
ACA,JMB,404.455
ACA,JNT,420.763
ACA,JOY,429.6
ACA,JUL,410.006
ACA,KAB,78.2199
ACA,KCB,98.1451
ACA,KIN,480.658
ACA,KND,471.302
ACA,KPH,348.139
ACA,KUC,93.386
ACA,KYL,156.374
ACA,LAB,85.6541
ACA,LAC,502.305
ACA,LAG,260.939
ACA,LAM,365.492
ACA,LBT,529.186
ACA,LGP,435.476
ACA,LOL,76.2699
ACA,LPM,594.734
ACA,MAR,474.968
ACA,MCA,302.481
ACA,MCG,71.4759
ACA,MCW,465.706
ACA,MLC,70.8737
ACA,MLP,345.17
ACA,MLS,79.0291
ACA,MNG,139.867
ACA,MPL,81.598
ACA,MPN,23.9826
ACA,MQL,515.685
ACA,MRF,477.299
ACA,MRL,396.398
ACA,MTL,437.218
ACA,MTR,418.229
ACA,MXC,65.5719
ACA,NAR,423.167
ACA,NAY,436.045
ACA,NCC,87.6128
ACA,NCT,348.354
ACA,NKM,417.817
ACA,NMP,518.109
ACA,NPT,7.31955
ACA,NTN,519.973
ACA,OAG,334.278
ACA,OXK,62.1209
ACA,OXL,523.261
ACA,OXP,289.241
ACA,PAB,508.393
ACA,PAL,466.945
ACA,PAT,487.523
ACA,PBT,431.567
ACA,PBX,269.124
ACA,PCL,232.042
ACA,PCR,278.854
ACA,PIX,128.813
ACA,PJR,435.047
ACA,PLC,253.812
ACA,PLM,326.39
ACA,PMA,530.425
ACA,PMC,119.27
ACA,PMT,440.589
ACA,PNG,460.792
ACA,POL,462.33
ACA,PRU,418.133
ACA,PSD,467.154
ACA,PUS,537.293
ACA,PVR,457.939
ACA,QRG,632.196
ACA,RAM,675.137
ACA,RAZ,351.636
ACA,RBC,289.133
ACA,REJ,462.621
ACA,RFM,90.9247
ACA,RNC,101.189
ACA,RSB,251.85
ACA,SAY,84.8352
ACA,SBL,493.817
ACA,SBO,376.986
ACA,SBP,93.3694
